tweet_id,retweet_count,favorite_count
837482249356513284,436,3804
837471256429613056,2224,12588
837110210464448512,2317,15815
836989968035819520,2256,12558
836753516572119041,4554,19074
836677758902222849,2188,12445
836648853927522308,547,0
836397794269200385,26961,0
836380477523124226,2933,14563
836260088725786625,4225,21023
836001077879255040,4180,18820
835685285446955009,7984,0
835574547218894849,3553,17561
835536468978302976,1663,0
835309094223372289,20535,0
835297930240217089,2951,16254
835264098648616962,1663,7620
835246439529840640,72,2069
835172783151792128,5659,25805
835152434251116546,2949,22083
834931633769889797,1606,10663
834786237630337024,5414,21126
834574053763584002,2484,13459
834477809192075265,10456,0
834458053273591808,1646,9510
834209720923721728,4658,20316
834167344700198914,3605,15634
834089966724603904,2098,9903
834086379323871233,2170,12893
833863086058651648,2369,13272
833826103416520705,3714,17865
833732339549220864,219,0
833722901757046785,3173,20564
833479644947025920,2017,14691
833124694597443584,4759,19953
832998151111966721,2163,13090
832769181346996225,39,0
832757312314028032,3563,16673
832682457690300417,2867,11734
832645525019123713,524,2895
832636094638288896,2741,15660
832397543355072512,2181,11838
832369877331693569,3148,16986
832273440279240704,2298,11222
832215909146226688,6124,0
832215726631055365,9178,0
832088576586297345,2,62
832040443403784192,9461,0
832032802820481025,4596,17669
831939777352105988,6036,23715
831926988323639298,34,332
831911600680497154,6394,27275
831670449226514432,1786,10314
831650051525054464,1893,7044
831552930092285952,2288,8881
831322785565769729,1534,9179
831315979191906304,1113,6472
831309418084069378,2428,11631
831262627380748289,2014,11786
830956169170665475,1475,7889
830583320585068544,16517,66085
830173239259324417,5606,0
830097400375152640,2895,9695
829878982036299777,4934,0
829861396166877184,1914,12123
829501995190984704,10456,31415
829449946868879360,1985,10366
829141528400556032,7227,24158
829011960981237760,16120,52709
828801551087042563,3381,0
828770345708580865,5777,25349
828708714936930305,11034,36148
828650029636317184,1323,9424
828409743546925057,1153,6297
828408677031882754,1273,7613
828381636999917570,2191,12485
828376505180889089,1055,7313
828372645993398273,2899,12465
828361771580813312,173,2171
828046555563323392,2842,11648
828011680017821696,2128,10269
827933404142436356,5178,19912
827653905312006145,2993,15373
827600520311402496,931,7408
827324948884643840,3005,15721
827199976799354881,2198,10501
826958653328592898,4934,21411
826848821049180160,10030,36008
826615380357632002,3947,0
826598799820865537,248,5080
826598365270007810,2314,9946
826476773533745153,4142,18261
826240494070030336,2581,13183
826204788643753985,913,4840
826115272272650244,3065,15538
825876512159186944,1847,10397
825829644528148480,2468,12650
825535076884762624,17402,56476
825147591692263424,4496,18164
